step,env,surface_profile,profile_seed,observation_mode,observation_dim,feature_index,feature_name,value
0,1,factory_prepolish_deep_defect,1000,spatial120,120,34,tile_scratch_max_um_x2_y4_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,35,tile_scratch_max_um_x3_y0_norm,0.12856973707675934
0,1,factory_prepolish_deep_defect,1000,spatial120,120,36,tile_scratch_max_um_x3_y1_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,37,tile_scratch_max_um_x3_y2_norm,0.22587786614894867
0,1,factory_prepolish_deep_defect,1000,spatial120,120,38,tile_scratch_max_um_x3_y3_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,39,tile_scratch_max_um_x3_y4_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,40,tile_scratch_max_um_x4_y0_norm,0.14905403554439545
0,1,factory_prepolish_deep_defect,1000,spatial120,120,41,tile_scratch_max_um_x4_y1_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,42,tile_scratch_max_um_x4_y2_norm,0.1634274572134018
0,1,factory_prepolish_deep_defect,1000,spatial120,120,43,tile_scratch_max_um_x4_y3_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,44,tile_scratch_max_um_x4_y4_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,45,tile_removal_mean_um_x0_y0_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,46,tile_removal_mean_um_x0_y1_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,47,tile_removal_mean_um_x0_y2_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,48,tile_removal_mean_um_x0_y3_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,49,tile_removal_mean_um_x0_y4_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,50,tile_removal_mean_um_x1_y0_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,51,tile_removal_mean_um_x1_y1_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,52,tile_removal_mean_um_x1_y2_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,53,tile_removal_mean_um_x1_y3_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,54,tile_removal_mean_um_x1_y4_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,55,tile_removal_mean_um_x2_y0_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,56,tile_removal_mean_um_x2_y1_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,57,tile_removal_mean_um_x2_y2_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,58,tile_removal_mean_um_x2_y3_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,59,tile_removal_mean_um_x2_y4_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,60,tile_removal_mean_um_x3_y0_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,61,tile_removal_mean_um_x3_y1_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,62,tile_removal_mean_um_x3_y2_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,63,tile_removal_mean_um_x3_y3_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,64,tile_removal_mean_um_x3_y4_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,65,tile_removal_mean_um_x4_y0_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,66,tile_removal_mean_um_x4_y1_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,67,tile_removal_mean_um_x4_y2_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,68,tile_removal_mean_um_x4_y3_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,69,tile_removal_mean_um_x4_y4_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,70,tile_under_fraction_x0_y0_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,71,tile_under_fraction_x0_y1_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,72,tile_under_fraction_x0_y2_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,73,tile_under_fraction_x0_y3_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,74,tile_under_fraction_x0_y4_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,75,tile_under_fraction_x1_y0_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,76,tile_under_fraction_x1_y1_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,77,tile_under_fraction_x1_y2_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,78,tile_under_fraction_x1_y3_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,79,tile_under_fraction_x1_y4_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,80,tile_under_fraction_x2_y0_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,81,tile_under_fraction_x2_y1_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,82,tile_under_fraction_x2_y2_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,83,tile_under_fraction_x2_y3_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,84,tile_under_fraction_x2_y4_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,85,tile_under_fraction_x3_y0_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,86,tile_under_fraction_x3_y1_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,87,tile_under_fraction_x3_y2_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,88,tile_under_fraction_x3_y3_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,89,tile_under_fraction_x3_y4_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,90,tile_under_fraction_x4_y0_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,91,tile_under_fraction_x4_y1_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,92,tile_under_fraction_x4_y2_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,93,tile_under_fraction_x4_y3_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,94,tile_under_fraction_x4_y4_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,95,tile_over_fraction_x0_y0_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,96,tile_over_fraction_x0_y1_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,97,tile_over_fraction_x0_y2_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,98,tile_over_fraction_x0_y3_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,99,tile_over_fraction_x0_y4_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,100,tile_over_fraction_x1_y0_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,101,tile_over_fraction_x1_y1_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,102,tile_over_fraction_x1_y2_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,103,tile_over_fraction_x1_y3_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,104,tile_over_fraction_x1_y4_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,105,tile_over_fraction_x2_y0_norm,0.0
