step_over_ratio,edge_mode,direction_mode,tile_x,tile_y,exposure_norm
0.25,balanced_extend5,cross_xy,3,4,0.9368304274073975
0.25,balanced_extend5,cross_xy,4,0,0.7298164255672508
0.25,balanced_extend5,cross_xy,4,1,0.9368304274073975
0.25,balanced_extend5,cross_xy,4,2,0.9443733743066781
0.25,balanced_extend5,cross_xy,4,3,0.9368304274073975
0.25,balanced_extend5,cross_xy,4,4,0.7298164255672509
0.32,legacy_start,same_xx,0,0,0.711257557349741
0.32,legacy_start,same_xx,0,1,0.9070833164754566
0.32,legacy_start,same_xx,0,2,0.9083156261836624
0.32,legacy_start,same_xx,0,3,0.9096125676142656
0.32,legacy_start,same_xx,0,4,0.81384611705128
0.32,legacy_start,same_xx,1,0,0.9204773517753679
0.32,legacy_start,same_xx,1,1,1.1703007055893286
0.32,legacy_start,same_xx,1,2,1.171637071209833
0.32,legacy_start,same_xx,1,3,1.1738115401917522
0.32,legacy_start,same_xx,1,4,1.0536591104182864
0.32,legacy_start,same_xx,2,0,0.9261214669960768
0.32,legacy_start,same_xx,2,1,1.1764986550808993
0.32,legacy_start,same_xx,2,2,1.1778209257351482
0.32,legacy_start,same_xx,2,3,1.1800056912647408
0.32,legacy_start,same_xx,2,4,1.059783262272682
0.32,legacy_start,same_xx,3,0,0.9204773517753679
0.32,legacy_start,same_xx,3,1,1.1701983839419068
0.32,legacy_start,same_xx,3,2,1.1716370712098327
0.32,legacy_start,same_xx,3,3,1.1737842544191062
0.32,legacy_start,same_xx,3,4,1.0536591104182864
0.32,legacy_start,same_xx,4,0,0.711257557349741
0.32,legacy_start,same_xx,4,1,0.9070082806006805
0.32,legacy_start,same_xx,4,2,0.9083156261836625
0.32,legacy_start,same_xx,4,3,0.9095852818416198
0.32,legacy_start,same_xx,4,4,0.81384611705128
0.32,legacy_start,cross_xy,0,0,0.711257557349741
0.32,legacy_start,cross_xy,0,1,0.9137803341254122
0.32,legacy_start,cross_xy,0,2,0.9172185465898696
0.32,legacy_start,cross_xy,0,3,0.9150449596948167
0.32,legacy_start,cross_xy,0,4,0.7625518372005103
0.32,legacy_start,cross_xy,1,0,0.9137803341254122
0.32,legacy_start,cross_xy,1,1,1.1703007055893286
0.32,legacy_start,cross_xy,1,2,1.1740678631453663
0.32,legacy_start,cross_xy,1,3,1.1720049620668296
0.32,legacy_start,cross_xy,1,4,0.9803336955094835
0.32,legacy_start,cross_xy,2,0,0.9172185465898696
0.32,legacy_start,cross_xy,2,1,1.1740678631453658
0.32,legacy_start,cross_xy,2,2,1.1778209257351484
0.32,legacy_start,cross_xy,2,3,1.175821381237287
0.32,legacy_start,cross_xy,2,4,0.9840494442281721
0.32,legacy_start,cross_xy,3,0,0.9150449596948167
0.32,legacy_start,cross_xy,3,1,1.1720049620668294
0.32,legacy_start,cross_xy,3,2,1.1758213812372866
0.32,legacy_start,cross_xy,3,3,1.1737842544191062
0.32,legacy_start,cross_xy,3,4,0.981622196129953
0.32,legacy_start,cross_xy,4,0,0.7625518372005105
0.32,legacy_start,cross_xy,4,1,0.9803336955094835
0.32,legacy_start,cross_xy,4,2,0.9840494442281722
0.32,legacy_start,cross_xy,4,3,0.9816221961299532
0.32,legacy_start,cross_xy,4,4,0.81384611705128
0.32,balanced,same_xx,0,0,0.7651700445361865
0.32,balanced,same_xx,0,1,0.9065874592803002
0.32,balanced,same_xx,0,2,0.906308556893552
0.32,balanced,same_xx,0,3,0.9066758708502767
0.32,balanced,same_xx,0,4,0.7651700445361862
0.32,balanced,same_xx,1,0,0.9904131416169417
0.32,balanced,same_xx,1,1,1.169941674442203
0.32,balanced,same_xx,1,2,1.1690818051860157
0.32,balanced,same_xx,1,3,1.1700368869021778
0.32,balanced,same_xx,1,4,0.9904131416169417
0.32,balanced,same_xx,2,0,0.9963355462426705
0.32,balanced,same_xx,2,1,1.1761625069407566
0.32,balanced,same_xx,2,2,1.1752162169916323
0.32,balanced,same_xx,2,3,1.1763121265207166
0.32,balanced,same_xx,2,4,0.9963355462426702
0.32,balanced,same_xx,3,0,0.9904131416169419
0.32,balanced,same_xx,3,1,1.1699144708822105
0.32,balanced,same_xx,3,2,1.1690818051860157
0.32,balanced,same_xx,3,3,1.1700572895721724
0.32,balanced,same_xx,3,4,0.9904131416169417
0.32,balanced,same_xx,4,0,0.7651700445361865
0.32,balanced,same_xx,4,1,0.9065602557203077
0.32,balanced,same_xx,4,2,0.906308556893552
0.32,balanced,same_xx,4,3,0.9067506806402568
0.32,balanced,same_xx,4,4,0.7651700445361862
0.32,balanced,cross_xy,0,0,0.7651700445361865
0.32,balanced,cross_xy,0,1,0.9485003004486212
0.32,balanced,cross_xy,0,2,0.9513220515681112
0.32,balanced,cross_xy,0,3,0.9485445062336094
0.32,balanced,cross_xy,0,4,0.7651700445361865
0.32,balanced,cross_xy,1,0,0.9485003004486211
0.32,balanced,cross_xy,1,1,1.1699416744422033
0.32,balanced,cross_xy,1,2,1.1726221560633863
0.32,balanced,cross_xy,1,3,1.1699756788921942
0.32,balanced,cross_xy,1,4,0.9484866986686248
0.32,balanced,cross_xy,2,0,0.9513220515681113
0.32,balanced,cross_xy,2,1,1.1726221560633865
0.32,balanced,cross_xy,2,2,1.1752162169916327
0.32,balanced,cross_xy,2,3,1.1726969658533664
0.32,balanced,cross_xy,2,4,0.9513220515681116
0.32,balanced,cross_xy,3,0,0.9485445062336094
0.32,balanced,cross_xy,3,1,1.1699756788921942
0.32,balanced,cross_xy,3,2,1.1726969658533661
0.32,balanced,cross_xy,3,3,1.1700572895721724
0.32,balanced,cross_xy,3,4,0.9485819111285995
0.32,balanced,cross_xy,4,0,0.7651700445361864
0.32,balanced,cross_xy,4,1,0.9484866986686248
0.32,balanced,cross_xy,4,2,0.9513220515681112
0.32,balanced,cross_xy,4,3,0.9485819111285992
0.32,balanced,cross_xy,4,4,0.7651700445361865
0.32,balanced_extend5,same_xx,0,0,0.799026911873558
0.32,balanced_extend5,same_xx,0,1,0.9457307816852165
0.32,balanced_extend5,same_xx,0,2,0.9465676383993542
0.32,balanced_extend5,same_xx,0,3,0.9457307816852165
0.32,balanced_extend5,same_xx,0,4,0.7990269118735579
0.32,balanced_extend5,same_xx,1,0,0.970225338182388
0.32,balanced_extend5,same_xx,1,1,1.1439630358373458
0.32,balanced_extend5,same_xx,1,2,1.14435931870839
0.32,balanced_extend5,same_xx,1,3,1.1439630358373458
0.32,balanced_extend5,same_xx,1,4,0.970225338182388
0.32,balanced_extend5,same_xx,2,0,0.9721128005421232
0.32,balanced_extend5,same_xx,2,1,1.1457589182959236
0.32,balanced_extend5,same_xx,2,2,1.1466183777943875
0.32,balanced_extend5,same_xx,2,3,1.1457589182959236
0.32,balanced_extend5,same_xx,2,4,0.9721128005421232
0.32,balanced_extend5,same_xx,3,0,0.970225338182388
0.32,balanced_extend5,same_xx,3,1,1.1439630358373458
0.32,balanced_extend5,same_xx,3,2,1.1443593187083898
0.32,balanced_extend5,same_xx,3,3,1.1439630358373458
0.32,balanced_extend5,same_xx,3,4,0.9702253381823877
0.32,balanced_extend5,same_xx,4,0,0.799026911873558
0.32,balanced_extend5,same_xx,4,1,0.9457307816852166
0.32,balanced_extend5,same_xx,4,2,0.9465676383993542
