policy_label,direction_mode,surface_profile,profile_seed,policy_outcome,champion_outcome,policy_safety_ok,champion_safety_ok,delta_gu,delta_ra_um,delta_rz_um,delta_scratch_um,delta_clearcoat_um
bc_spatial120,same_xx,factory_prepolish_deep_defect,10582,success,success,True,True,0.1345396752195427,-0.001987733346640083,-0.006775569507698531,0.02290377351157208,-0.010582268941931261
bc_base14,same_xx,factory_prepolish_deep_defect,10679,success,success,True,True,0.0007888337156316538,-0.0013981295517961345,-0.002091918650597435,0.005253360355786718,0.0003086841972219645
bc_global20,same_xx,factory_prepolish_deep_defect,10679,success,success,True,True,-0.07546840697118284,-0.01197602096843138,-0.023318753545371607,0.04384777531850309,0.0014637835458586324
bc_spatial120,same_xx,factory_prepolish_deep_defect,10679,success,success,True,True,-0.4043920203911,0.003278529838136132,0.02434499661490308,0.012708447687385271,0.025399855392407744
bc_base14,same_xx,factory_prepolish_deep_stress,10000,fail_max_passes,fail_max_passes,True,True,0.0016869301136352988,-0.00010405730591457607,0.00014409012238192354,0.0004344021509996576,-0.002183805923337445
bc_global20,same_xx,factory_prepolish_deep_stress,10000,fail_max_passes,fail_max_passes,True,True,0.003919679543429311,-0.0003289698945982966,-0.0001277936938124391,0.0006179035249105347,-0.00026060407353156734
bc_spatial120,same_xx,factory_prepolish_deep_stress,10000,fail_max_passes,fail_max_passes,True,True,-0.1661662052527788,0.003348608778365597,0.022233387958247253,0.004477035286458708,-0.005537516508447027
bc_base14,same_xx,factory_prepolish_deep_stress,10097,success,success,True,True,-0.0012435631269198666,-0.00037756557398371804,-0.0009275770309415954,0.001212722327014193,-0.00018866433828890194
bc_global20,same_xx,factory_prepolish_deep_stress,10097,success,success,True,True,-0.010403055755006108,-0.0031631293350598416,-0.01064078611558572,0.010121404233451425,-0.000553501692138525
bc_spatial120,same_xx,factory_prepolish_deep_stress,10097,success,success,True,True,-0.06801496626678727,-0.002259606827652097,-0.009285793522107788,0.010996581423061924,0.008634381143593828
bc_base14,same_xx,factory_prepolish_deep_stress,10194,success,success,True,True,0.0016456305972241125,-0.000294896323546609,-0.0006918393826855773,0.0004039281247466553,2.26513975007947e-05
bc_global20,same_xx,factory_prepolish_deep_stress,10194,success,success,True,True,-0.01042842841175684,-0.006997892631222261,-0.019594658650495145,0.01783460782636037,0.0006369533697849761
